exp, ds size, engine, model, ds_eval, NDGC@1, NDGC@1 Std, NDGC@10, NDGC@10 Std, NDGC@100, NDGC@100 Std, NDGC, NDGC Std, R@100, R@100 Std, R@200, R@200 Std, R@500, R@500 Std, R@1000, R@1000 Std
exp, small, clip, ViT-L/14@336px, abs, 0.12244897959183673, 0.3278036409022247, 0.08056062990094985, 0.14508553172407407, 0.14859626855666744, 0.1365803384551426, 0.37943423409492655, 0.13469451406388558, 0.2192541789750557, 0.1628796620469563, 0.30728793999596726, 0.20160657896802317, 0.5403325316892769, 0.2313783546492841, 0.6862743778365092, 0.21156792291368762
exp, small, clip, ViT-L/14@336px, nonabs, 0.20689655172413793, 0.40508069394726653, 0.20341337477594912, 0.20976671073251574, 0.30783096509543245, 0.21308992207154906, 0.4786961788296213, 0.1851049067944982, 0.4403787766049342, 0.27746749797828163, 0.54807101032216, 0.3024821218446512, 0.705710337178747, 0.3070400563451631, 0.8069087785752752, 0.2580543176431063
exp, small, clip, ViT-L/14@336px, gptj6-abs, 0.053061224489795916, 0.22415559539177113, 0.04353593690070383, 0.10469242510689264, 0.07899726464505229, 0.11265732076883919, 0.32415518547563, 0.11946396312401857, 0.11729271069740885, 0.14858467811829298, 0.18845449465930425, 0.20131013266052375, 0.33212836720075295, 0.2752904314172865, 0.4733403759717338, 0.3046418453934305
exp, small, clip, ViT-L/14@336px, gptj6-nonabs, 0.1206896551724138, 0.32576626944295145, 0.12042655351987726, 0.1803689410762106, 0.19904230282269395, 0.20538019737691865, 0.40178252922361923, 0.17674620873556407, 0.29781864177940576, 0.2699068026185073, 0.41502963779920465, 0.31059956099688385, 0.5719205096666565, 0.3457943810084764, 0.6815600240927772, 0.3308317258658906
exp, small, clip, ViT-L/14@336px, coco, 0.26259780907668234, 0.4400456791570718, 0.41149686713163663, 0.4084120514019805, 0.47935922630253863, 0.3476234522051306, 0.4905312724862346, 0.33390893008448125, 0.9150234741784038, 0.27884676057090535, 0.9677621283255086, 0.17663122969732845, 0.9913928012519562, 0.09237486063727235, 0.9953051643192489, 0.06835783933596731
exp, small, blip, ViT-B/32, abs, 0.10204081632653061, 0.30270197906512913, 0.06933584412616708, 0.11282101820716554, 0.09371391991667886, 0.10478367544006151, 0.3390637257104724, 0.13059520107252406, 0.13097875851875276, 0.13246375153538337, 0.20734727384663415, 0.1883489343040176, 0.36373425088742334, 0.24134952029105522, 0.5089141143873339, 0.28443724766500134
exp, small, blip, ViT-B/32, nonabs, 0.1724137931034483, 0.37773969483114905, 0.17073475914629654, 0.23037150579499538, 0.2589199485808443, 0.21196069158052686, 0.44874761774138394, 0.18995717102254556, 0.37053926477559174, 0.24110140446612752, 0.5425380091427656, 0.2628835359894603, 0.7254317229465649, 0.29395805600770625, 0.8345948325744651, 0.2599747148330793
exp, small, blip, ViT-B/32, gptj6-abs, 0.04081632653061224, 0.19786448397617667, 0.040451318212309156, 0.09680852756110066, 0.06159660465898766, 0.09885304613426664, 0.3092183213363863, 0.120828074781871, 0.08598229372361547, 0.1261106871908563, 0.144532475688257, 0.1846299234224216, 0.2624694111127882, 0.25671542118197727, 0.39623811486197086, 0.3005391365171711
exp, small, blip, ViT-B/32, gptj6-nonabs, 0.15172413793103448, 0.3587532911348953, 0.12271363372925473, 0.21262545426324497, 0.17098284101688097, 0.20416017679011556, 0.383751951611744, 0.18384652655390296, 0.24125615153827001, 0.23408116880956062, 0.3678006278560793, 0.29951239796791457, 0.5430064017211493, 0.33512441294031436, 0.6644894732994807, 0.3322437804421353
exp, small, blip, ViT-B/32, coco, 0.3170579029733959, 0.4653301936641427, 0.49372125292460656, 0.4006622248402147, 0.5508723437231061, 0.3368717888345451, 0.5552453908911433, 0.33049767852892625, 0.9666666666666667, 0.17950549357115012, 0.9882629107981221, 0.10770018541741277, 0.9949921752738654, 0.07058857143792399, 0.997339593114241, 0.05151047583706837
exp, small, blip2, ViT-B/32, abs, 0.08163265306122448, 0.2738042421428314, 0.055358875456087045, 0.10221307622200168, 0.091127958949465, 0.11008521529569999, 0.3380403619385205, 0.12592046165067258, 0.12586344492519444, 0.1336753602645108, 0.2303904503555692, 0.21905244344185684, 0.403307941525779, 0.2905058840282195, 0.5406592277760152, 0.2951226941383503
exp, small, blip2, ViT-B/32, nonabs, 0.10344827586206896, 0.30454347814923605, 0.1358445433027037, 0.12475645661711027, 0.2557081449382615, 0.1693834702972811, 0.43948811274499894, 0.1566848814232931, 0.40452293316681914, 0.2664560889416466, 0.5456516177403641, 0.2834331357608428, 0.7072491207038539, 0.2582061696694945, 0.8408246004125594, 0.19014181167163696
exp, small, blip2, ViT-B/32, gptj6-abs, 0.03469387755102041, 0.18300331256973248, 0.028568444894519183, 0.0756939816122762, 0.056710042377575196, 0.09164502182187036, 0.3023130371376024, 0.10960910893217558, 0.08846841934374391, 0.13496738490421012, 0.14967242484319043, 0.1988319724087452, 0.264061646686805, 0.26150585570873336, 0.39101377501465734, 0.29431581818330266
exp, small, blip2, ViT-B/32, gptj6-nonabs, 0.06206896551724138, 0.24128076806256415, 0.09170208958890191, 0.13217166514313447, 0.17076488211951665, 0.1671299366608842, 0.3772193946165548, 0.15444581757557957, 0.2716907223777346, 0.25270071460961846, 0.3801752308014408, 0.3030571384404737, 0.5280189988341345, 0.33218151490064735, 0.6562306321121005, 0.31742066610729275
